Sample	Variable	Value	Extraction method	Relevant text
Pandemic (Female)	WC (M)	129.2	Reported	
Pandemic (Female)	WC (SD)	169.9	Reported	
Pandemic (Male)	WC (M)	92.8	Reported	
Pandemic (Male)	WC (SD)	171	Reported	
Pandemic	Dictionary	LIWC2015	Reported	
Pandemic (Female)	N texts	1998	Inferred	
Pandemic (Female)	N authors	1998	Reported	
Pandemic (Female)	N authors (Female gender)	1998	Reported	
Pandemic (Female)	N authors (Male gender)	0	Reported	
Pandemic (Female)	N authors (Other or unspecified gender)	0	Reported	
Pandemic (Male)	N texts	890	Inferred	
Pandemic (Male)	N authors	890	Reported	
Pandemic (Male)	N authors (Female gender)	0	Reported	
Pandemic (Male)	N authors (Male gender)	890	Reported	
Pandemic (Male)	N authors (Other or unspecified gender)	0	Reported	
Pandemic	Age (M)	40.08	Reported	
Pandemic	Age (SD)	16.89	Reported	
Pandemic	Recruitment	Online ads	Reported	
Pandemic	Population	General (dream biased)	Reported	
Pandemic	Country	Mixed	Reported	
Pandemic	Timeframe	2020	Reported	
Pandemic	Probe	COVID-19 dream	Reported	"""any dreams you have had related to the COVID-19 coronavirus"""
Pandemic	Response context	Online	Reported	
Pandemic	Response format	Survey	Reported	
Pandemic	Response medium	Typed	Reported	
Pandemic	Response language (source)	English	Inferred	
Pandemic	Response language (target)	English	Inferred	
