Variable	Value	Extraction method	Relevant text
Dictionary	LIWC2007	Reported	
N texts	488	Inferred	
N authors	488	Reported	
N authors (Female gender)	330	Reported	
N authors (Male gender)	158	Reported	
N authors (Other or unspecified gender)	0	Reported	
Age (M)	25.59		
Age (SD)	10.65		
Recruitment	University subject pool		
Population	Undergraduates		
Country			
Timeframe		n/r but recent so inferrable	
Probe	Recent dream		"""Please think about a recent nocturnal dream. Write about this dream, in the box below, as you would describe it to a person or a good friend in a real-life situation."""
Response context	Online		
Response format	Survey		
Response medium	Typed		
Response language (source)	English		
Response language (target)	English		
