Variable	Value	Extraction method	Relevant text
Dictionary	LIWC1999		"They reference 2001, but I actually think they used LIWC1999, based on examples of dicts they put in supp"
N texts			
N authors	613	Reported	
N authors (Female gender)	516	Reported	
N authors (Male gender)	97	Reported	
Age (M)	30.9	Reported	
Age (SD)	10.9	Reported	
Recruitment	Internet ads	Reported	
Population	General		
Country			
Timeframe			
Probe	COVID-19	Reported	"""report a dream they had during the lockdown restriction"""
Response context	Online		
Response format	Survey		
Response medium	Typed		
Response language (source)	Italian		
Response language (target)	English		
			
