Sample	Variable	Value	Exraction method	Relevant text
Dreams	Dictionary	LIWC2015	Reported	
Dreams	N texts	9678	Reported	
Dreams	Recruitment	None (App users)	Inferred	
Dreams	Population	App users	Reported	
Dreams	Country	Mixed	Inferred	
Dreams	Timeframe	2013-2016	Reported	
Dreams	Probe	Journal (Shared)	Inferred	
Dreams	Response context	Online	Reported	
Dreams	Response format	App	Reported	
Dreams	Response medium	Typed	Reported	
Dreams	Response language (source)	English	Reported	
Dreams	Response language (target)	English	Reported	
Dreams	Response preprocessing	>100 WC	Reported	
